sample_id,dataset,base__relevance,base__coherence,base__naturalness,base__avg,fine_tuned__relevance,fine_tuned__coherence,fine_tuned__naturalness,fine_tuned__avg,prompt_few_shot__relevance,prompt_few_shot__coherence,prompt_few_shot__naturalness,prompt_few_shot__avg,prompt_zero_shot__relevance,prompt_zero_shot__coherence,prompt_zero_shot__naturalness,prompt_zero_shot__avg,winner,timestamp
sample_166,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T15:50:44.710Z
sample_71,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,3,1,1,1.67,4,4,5,4.33,tie,2026-04-13T15:51:04.601Z
sample_375,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,3,2.0,2,2,3,2.33,tie,2026-04-13T15:53:16.689Z
sample_324,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T15:53:22.345Z
sample_149,GEM/schema_guided_dialog,5,5,5,5.0,4,4,5,4.33,2,1,3,2.0,1,1,3,1.67,base,2026-04-13T15:53:47.618Z
sample_381,GEM/schema_guided_dialog,2,1,1,1.33,5,5,5,5.0,3,1,1,1.67,5,5,5,5.0,tie,2026-04-13T15:54:13.871Z
sample_134,allenai/WildChat-1M,5,5,5,5.0,5,5,5,5.0,2,1,1,1.33,5,5,5,5.0,tie,2026-04-13T15:54:33.759Z
sample_393,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,1,1.33,2,1,3,2.0,tie,2026-04-13T15:55:01.987Z
sample_394,allenai/WildChat-1M,5,5,5,5.0,5,5,5,5.0,2,1,1,1.33,4,5,5,4.67,tie,2026-04-13T15:55:37.357Z
sample_75,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,1,1.33,5,5,5,5.0,tie,2026-04-13T15:55:51.684Z
sample_31,GEM/schema_guided_dialog,2,1,1,1.33,5,5,5,5.0,2,1,1,1.33,2,1,2,1.67,fine_tuned,2026-04-13T15:56:18.398Z
sample_227,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,3,2.0,5,5,5,5.0,tie,2026-04-13T15:56:29.320Z
sample_293,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,1,2,2,1.67,5,5,5,5.0,tie,2026-04-13T15:57:04.224Z
sample_215,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,2,1.67,5,5,5,5.0,tie,2026-04-13T15:57:19.028Z
sample_277,GEM/schema_guided_dialog,3,4,5,4.0,5,5,5,5.0,2,1,2,1.67,5,5,5,5.0,tie,2026-04-13T15:58:01.208Z
sample_263,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,1,1.33,5,5,5,5.0,tie,2026-04-13T15:58:15.383Z
sample_41,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,1,1.33,2,2,4,2.67,tie,2026-04-13T15:58:29.483Z
sample_269,GEM/schema_guided_dialog,5,5,5,5.0,4,5,5,4.67,2,1,1,1.33,5,5,5,5.0,tie,2026-04-13T15:58:49.119Z
sample_214,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T15:58:53.378Z
sample_267,GEM/schema_guided_dialog,5,5,5,5.0,4,4,5,4.33,2,1,1,1.33,2,2,4,2.67,base,2026-04-13T15:59:33.052Z
sample_90,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T15:59:49.152Z
sample_219,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,1,1.33,5,5,5,5.0,tie,2026-04-13T16:00:18.113Z
sample_361,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,4,2.33,5,5,5,5.0,tie,2026-04-13T16:01:22.149Z
sample_32,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T16:01:23.350Z
sample_6,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T16:01:34.510Z
sample_44,allenai/WildChat-1M,5,5,5,5.0,5,5,5,5.0,2,2,3,2.33,5,5,5,5.0,tie,2026-04-13T16:01:53.425Z
sample_380,allenai/WildChat-1M,2,2,3,2.33,5,5,5,5.0,4,4,4,4.0,4,4,4,4.0,fine_tuned,2026-04-13T16:02:55.478Z
sample_62,allenai/WildChat-1M,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,tie,2026-04-13T16:03:20.168Z
sample_201,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,1,1.33,5,5,5,5.0,tie,2026-04-13T16:03:37.298Z
sample_57,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,1,1.33,3,2,3,2.67,tie,2026-04-13T16:04:03.329Z
sample_148,allenai/WildChat-1M,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,tie,2026-04-13T16:04:16.147Z
sample_385,GEM/schema_guided_dialog,1,1,1,1.0,5,5,5,5.0,2,1,4,2.33,5,5,5,5.0,tie,2026-04-13T16:04:40.359Z
sample_339,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,2,1.67,4,4,4,4.0,tie,2026-04-13T16:05:09.097Z
sample_175,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,3,2.0,5,5,5,5.0,tie,2026-04-13T16:05:31.045Z
sample_211,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,2,1,3,2.0,tie,2026-04-13T16:06:06.775Z
sample_179,GEM/schema_guided_dialog,4,5,5,4.67,5,5,5,5.0,3,1,1,1.67,5,5,5,5.0,tie,2026-04-13T16:06:28.088Z
sample_47,GEM/schema_guided_dialog,2,1,1,1.33,5,5,5,5.0,2,2,2,2.0,4,4,5,4.33,fine_tuned,2026-04-13T16:06:48.338Z
sample_91,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,1,1,1,1.0,1,1,3,1.67,tie,2026-04-13T16:07:08.140Z
sample_259,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,tie,2026-04-13T16:07:28.837Z
sample_116,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T16:07:30.502Z
sample_356,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T16:07:35.694Z
sample_102,allenai/WildChat-1M,4,4,4,4.0,4,4,5,4.33,3,3,3,3.0,4,4,4,4.0,fine_tuned,2026-04-13T16:07:50.469Z
sample_65,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,1,1.33,5,5,5,5.0,tie,2026-04-13T16:08:03.699Z
sample_34,allenai/WildChat-1M,5,5,5,5.0,4,5,5,4.67,2,1,1,1.33,2,2,3,2.33,base,2026-04-13T16:08:31.690Z
sample_239,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,tie,2026-04-13T16:08:42.921Z
sample_337,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,3,4,5,4.0,2,2,5,3.0,tie,2026-04-13T16:09:35.092Z
sample_240,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T16:09:36.413Z
sample_202,allenai/WildChat-1M,4,4,5,4.33,3,3,3,3.0,2,2,1,1.67,2,2,2,2.0,base,2026-04-13T16:09:52.989Z
sample_137,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,1,1,3,1.67,5,5,5,5.0,tie,2026-04-13T16:10:08.307Z
sample_55,GEM/schema_guided_dialog,1,1,2,1.33,5,5,5,5.0,1,1,3,1.67,5,4,5,4.67,fine_tuned,2026-04-13T16:10:37.674Z
sample_193,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,tie,2026-04-13T16:10:51.040Z
sample_61,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,2,1.67,4,5,5,4.67,tie,2026-04-13T16:11:13.746Z
sample_311,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,tie,2026-04-13T16:11:25.552Z
sample_169,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,1,1.33,5,5,5,5.0,tie,2026-04-13T16:11:38.396Z
sample_181,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,1,1.33,5,5,5,5.0,tie,2026-04-13T16:11:54.128Z
sample_72,allenai/WildChat-1M,5,5,5,5.0,5,5,5,5.0,2,1,1,1.33,2,2,5,3.0,tie,2026-04-13T16:12:10.748Z
sample_28,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T16:12:11.872Z
sample_333,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,4,5,5,4.67,5,5,5,5.0,tie,2026-04-13T16:12:36.234Z
sample_279,GEM/schema_guided_dialog,2,3,5,3.33,5,5,5,5.0,1,1,2,1.33,5,5,5,5.0,tie,2026-04-13T16:12:56.078Z
sample_289,GEM/schema_guided_dialog,2,1,1,1.33,5,5,5,5.0,1,1,5,2.33,4,5,4,4.33,fine_tuned,2026-04-13T16:13:17.453Z
sample_114,allenai/WildChat-1M,5,5,5,5.0,5,5,5,5.0,2,1,1,1.33,4,4,5,4.33,tie,2026-04-13T16:14:39.039Z
sample_4,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T16:14:40.176Z
sample_395,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,tie,2026-04-13T16:14:49.509Z
sample_217,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,1,1.33,5,4,4,4.33,tie,2026-04-13T16:15:05.364Z
sample_52,allenai/WildChat-1M,4,4,5,4.33,5,5,5,5.0,4,4,5,4.33,4,4,2,3.33,fine_tuned,2026-04-13T16:15:32.036Z
sample_93,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,1,1,2,1.33,5,5,5,5.0,tie,2026-04-13T16:17:31.463Z
sample_317,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,tie,2026-04-13T16:17:44.078Z
sample_303,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,4,4.67,tie,2026-04-13T16:18:08.921Z
sample_186,allenai/WildChat-1M,5,5,5,5.0,5,5,5,5.0,2,2,1,1.67,3,4,5,4.0,tie,2026-04-13T16:18:29.888Z
sample_164,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T16:18:36.519Z
sample_302,allenai/WildChat-1M,3,3,3,3.0,4,4,5,4.33,3,3,3,3.0,4,4,5,4.33,tie,2026-04-13T16:22:05.615Z
sample_136,allenai/WildChat-1M,4,4,4,4.0,5,5,5,5.0,2,1,1,1.33,4,4,4,4.0,fine_tuned,2026-04-13T16:22:25.250Z
sample_397,GEM/schema_guided_dialog,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T16:22:27.667Z
sample_25,GEM/schema_guided_dialog,4,4,5,4.33,5,5,5,5.0,2,1,1,1.33,5,5,5,5.0,tie,2026-04-13T16:22:41.438Z
sample_89,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,3,2.0,2,1,3,2.0,tie,2026-04-13T16:23:23.723Z
sample_167,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,1,1.33,5,5,5,5.0,tie,2026-04-13T16:23:34.823Z
sample_119,GEM/schema_guided_dialog,4,3,2,3.0,5,5,5,5.0,5,5,4,4.67,5,5,5,5.0,tie,2026-04-13T16:23:57.997Z
sample_207,GEM/schema_guided_dialog,5,5,5,5.0,5,5,4,4.67,5,5,4,4.67,5,5,4,4.67,base,2026-04-13T16:24:15.726Z
sample_146,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T16:24:17.121Z
sample_216,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T16:24:25.731Z
sample_340,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T16:24:30.742Z
sample_390,allenai/WildChat-1M,5,5,5,5.0,4,5,5,4.67,2,1,2,1.67,5,5,5,5.0,tie,2026-04-13T16:24:52.028Z
sample_197,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,3,2.0,4,5,3,4.0,tie,2026-04-13T16:25:09.218Z
sample_218,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T16:25:11.900Z
sample_312,allenai/WildChat-1M,5,5,5,5.0,3,4,5,4.0,5,5,5,5.0,5,5,5,5.0,tie,2026-04-13T16:27:21.530Z
sample_225,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,tie,2026-04-13T16:27:32.569Z
sample_152,allenai/WildChat-1M,5,5,5,5.0,1,1,5,2.33,2,1,1,1.33,4,4,2,3.33,base,2026-04-13T16:28:08.422Z
sample_290,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T16:28:09.723Z
sample_182,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T16:28:26.793Z
sample_70,allenai/WildChat-1M,5,5,5,5.0,5,5,5,5.0,2,2,1,1.67,2,2,3,2.33,tie,2026-04-13T16:28:58.713Z
sample_156,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T16:29:03.549Z
sample_310,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T16:29:08.359Z
sample_135,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,1,1.33,5,5,5,5.0,tie,2026-04-13T16:29:31.084Z
sample_161,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,1,1,1,1.0,5,5,5,5.0,tie,2026-04-13T16:29:42.603Z
sample_261,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,1,1,1,1.0,5,5,5,5.0,tie,2026-04-13T16:29:54.380Z
sample_399,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,1,1,3,1.67,5,5,5,5.0,tie,2026-04-13T16:30:06.847Z
sample_326,allenai/WildChat-1M,2,2,2,2.0,3,3,3,3.0,1,1,3,1.67,2,2,3,2.33,fine_tuned,2026-04-13T16:30:46.176Z
sample_141,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,1,1,3,1.67,5,5,5,5.0,tie,2026-04-13T16:31:08.568Z
sample_241,GEM/schema_guided_dialog,5,5,3,4.33,5,5,5,5.0,5,5,5,5.0,4,3,3,3.33,tie,2026-04-13T16:31:31.012Z
sample_357,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,1,1.33,5,5,5,5.0,tie,2026-04-13T16:31:50.538Z
sample_43,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,1,1,2,1.33,5,5,5,5.0,tie,2026-04-13T16:33:06.194Z
sample_37,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,1,1,3,1.67,5,5,5,5.0,tie,2026-04-13T16:33:26.401Z
sample_223,GEM/schema_guided_dialog,1,1,1,1.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,tie,2026-04-13T16:33:42.331Z
sample_142,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T16:33:49.169Z
sample_321,GEM/schema_guided_dialog,1,1,3,1.67,1,1,3,1.67,1,1,3,1.67,1,1,3,1.67,tie,2026-04-13T16:34:15.405Z
sample_367,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,1,1,2,1.33,5,5,5,5.0,tie,2026-04-13T16:34:31.348Z
sample_15,GEM/schema_guided_dialog,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T16:35:09.946Z
sample_273,GEM/schema_guided_dialog,3,2,3,2.67,3,5,5,4.33,2,1,1,1.33,3,5,5,4.33,tie,2026-04-13T16:35:39.691Z
sample_354,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T16:35:41.728Z
sample_139,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,1,1,1,1.0,5,5,5,5.0,tie,2026-04-13T16:35:54.723Z
sample_158,allenai/WildChat-1M,5,5,5,5.0,5,5,5,5.0,2,2,3,2.33,2,2,3,2.33,tie,2026-04-13T16:36:19.259Z
sample_126,allenai/WildChat-1M,5,5,5,5.0,5,5,5,5.0,2,1,1,1.33,4,5,5,4.67,tie,2026-04-13T16:36:35.761Z
sample_85,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,tie,2026-04-13T16:36:55.320Z
sample_233,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,2,1,3,2.0,tie,2026-04-13T16:37:19.199Z
sample_144,allenai/WildChat-1M,5,5,5,5.0,5,5,5,5.0,2,1,2,1.67,2,1,3,2.0,tie,2026-04-13T16:37:44.145Z
sample_29,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,1,1.33,5,5,5,5.0,tie,2026-04-13T16:37:55.784Z
sample_58,allenai/WildChat-1M,5,5,5,5.0,5,5,5,5.0,2,1,2,1.67,4,5,5,4.67,tie,2026-04-13T16:40:55.213Z
sample_177,GEM/schema_guided_dialog,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T16:40:56.834Z
sample_155,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,3,2,3,2.67,5,5,5,5.0,tie,2026-04-13T16:41:38.639Z
sample_388,allenai/WildChat-1M,5,5,5,5.0,5,5,4,4.67,4,4,4,4.0,2,2,3,2.33,base,2026-04-13T17:36:48.152Z
sample_98,allenai/WildChat-1M,3,2,2,2.33,5,5,5,5.0,2,2,1,1.67,5,5,5,5.0,tie,2026-04-13T17:37:30.738Z
sample_392,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T17:37:31.954Z
sample_307,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,tie,2026-04-13T17:37:44.252Z
sample_86,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T17:37:44.329Z
sample_118,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T17:37:45.903Z
sample_147,GEM/schema_guided_dialog,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T17:54:06.617Z
sample_11,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,3,2.0,5,5,5,5.0,tie,2026-04-13T17:54:27.108Z
sample_5,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,3,1,1,1.67,5,5,5,5.0,tie,2026-04-13T17:54:48.140Z
sample_369,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,1,1,3,1.67,5,5,5,5.0,tie,2026-04-13T17:55:14.838Z
sample_379,GEM/schema_guided_dialog,5,5,4,4.67,5,5,5,5.0,5,5,4,4.67,5,5,5,5.0,tie,2026-04-13T17:55:31.940Z
sample_185,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,1,1,3,1.67,4,4,4,4.0,tie,2026-04-13T17:56:02.930Z
sample_205,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,5,4,3,4.0,5,5,5,5.0,tie,2026-04-13T17:56:27.829Z
sample_359,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,1,1.33,5,5,5,5.0,tie,2026-04-13T17:56:44.867Z
sample_341,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,1,1,3,1.67,5,5,5,5.0,tie,2026-04-13T17:56:57.756Z
sample_151,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,tie,2026-04-13T17:57:14.779Z
sample_328,allenai/WildChat-1M,4,5,5,4.67,5,5,5,5.0,2,1,1,1.33,3,3,5,3.67,fine_tuned,2026-04-13T17:57:33.244Z
sample_253,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,tie,2026-04-13T17:57:40.775Z
sample_188,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T17:57:42.348Z
sample_265,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,1,1.33,5,5,5,5.0,tie,2026-04-13T17:57:52.818Z
sample_187,GEM/schema_guided_dialog,2,1,1,1.33,5,5,5,5.0,1,1,3,1.67,4,5,5,4.67,fine_tuned,2026-04-13T17:58:14.239Z
sample_178,allenai/WildChat-1M,2,1,3,2.0,5,5,5,5.0,2,1,1,1.33,2,2,3,2.33,fine_tuned,2026-04-13T17:58:26.208Z
sample_106,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T17:58:27.543Z
sample_206,allenai/WildChat-1M,5,5,5,5.0,5,5,5,5.0,3,3,1,2.33,3,3,2,2.67,tie,2026-04-13T17:58:41.717Z
sample_323,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,tie,2026-04-13T17:58:50.792Z
sample_51,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,1,1.33,5,5,5,5.0,tie,2026-04-13T17:59:18.111Z
sample_165,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,2,3,3,2.67,tie,2026-04-13T17:59:29.568Z
sample_127,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,1,1.33,1,1,4,2.0,tie,2026-04-13T17:59:41.238Z
sample_304,allenai/WildChat-1M,5,5,5,5.0,5,5,5,5.0,1,1,2,1.33,3,3,1,2.33,tie,2026-04-13T18:00:04.563Z
sample_272,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T18:00:05.432Z
sample_143,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,1,1.33,5,5,5,5.0,tie,2026-04-13T18:00:18.889Z
sample_20,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T18:00:20.929Z
sample_23,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,1,1.33,5,5,5,5.0,tie,2026-04-13T18:00:30.106Z
sample_226,allenai/WildChat-1M,4,4,4,4.0,4,2,4,3.33,3,3,3,3.0,4,4,4,4.0,tie,2026-04-13T18:00:40.758Z
sample_105,GEM/schema_guided_dialog,4,5,5,4.67,5,5,5,5.0,1,1,3,1.67,3,5,5,4.33,fine_tuned,2026-04-13T18:01:02.855Z
sample_335,GEM/schema_guided_dialog,2,2,5,3.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,tie,2026-04-13T18:01:19.098Z
sample_232,allenai/WildChat-1M,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,tie,2026-04-13T18:01:27.543Z
sample_64,allenai/WildChat-1M,5,5,5,5.0,5,5,5,5.0,2,2,2,2.0,1,1,3,1.67,tie,2026-04-13T18:01:48.349Z
sample_351,GEM/schema_guided_dialog,4,4,5,4.33,5,5,5,5.0,2,1,1,1.33,5,5,5,5.0,tie,2026-04-13T18:02:04.472Z
sample_10,allenai/WildChat-1M,5,5,5,5.0,5,5,5,5.0,2,2,2,2.0,1,1,2,1.33,tie,2026-04-13T18:02:20.822Z
sample_100,allenai/WildChat-1M,2,2,3,2.33,5,5,5,5.0,2,2,2,2.0,4,4,5,4.33,fine_tuned,2026-04-13T18:02:41.882Z
sample_391,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,tie,2026-04-13T18:02:49.398Z
sample_120,allenai/WildChat-1M,2,2,2,2.0,5,5,5,5.0,2,2,2,2.0,1,1,2,1.33,fine_tuned,2026-04-13T18:03:13.849Z
sample_66,allenai/WildChat-1M,4,4,4,4.0,5,5,5,5.0,1,1,1,1.0,4,4,5,4.33,fine_tuned,2026-04-13T18:03:26.343Z
sample_319,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,1,1.33,5,5,5,5.0,tie,2026-04-13T18:03:35.795Z
sample_63,GEM/schema_guided_dialog,5,5,4,4.67,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,tie,2026-04-13T18:03:55.669Z
sample_171,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,3,2.0,5,5,5,5.0,tie,2026-04-13T18:04:07.279Z
sample_334,allenai/WildChat-1M,5,5,5,5.0,5,5,5,5.0,2,1,1,1.33,2,2,3,2.33,tie,2026-04-13T18:04:21.182Z
sample_42,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T18:04:22.565Z
sample_271,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,1,1.33,5,5,5,5.0,tie,2026-04-13T18:04:37.054Z
sample_157,GEM/schema_guided_dialog,2,2,3,2.33,5,5,5,5.0,2,1,3,2.0,1,1,3,1.67,fine_tuned,2026-04-13T18:05:06.140Z
sample_281,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,1,1,2,1.33,3,3,3,3.0,tie,2026-04-13T18:05:18.006Z
sample_200,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T18:05:18.993Z
sample_14,allenai/WildChat-1M,4,4,4,4.0,5,5,5,5.0,3,3,3,3.0,2,2,2,2.0,fine_tuned,2026-04-13T18:05:57.801Z
sample_249,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,4,4.67,tie,2026-04-13T18:06:06.141Z
sample_183,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,1,1,2,1.33,5,5,5,5.0,tie,2026-04-13T18:06:20.377Z
